 a3  b1  e7  e8  d8  d9  c9 b11  c2  g5 
 a3  d8  e8  f6  g6  g7  h6  h4  g5  g4 
 a3  f6  e6  e7  c8  c9  d8  d7  c7  d5 
 a3  f6  e6  e7  c8  c9  d8  d7  c7  d6 
 a3  f6  e6  e7  c8  c9  d8  d7  c7  d6 
 a3  f6  g6  g5  i4  h5  i5  h6  i6  h8 
 a3  f6  g6  g5  i4  h5  i5  h6  i6  h8 
 a3  f6  g6  g5  i4  h5  i5  h6  i6  h8 
 a3  f6  g6  g5  i4  h5  i5  h6  i6  h8 
 a3  f6  g6  g5  i4  h5  i5  h7  e6  d8 
 a3  f6  g6  g5  i4  h5  i5  h7  h6  i3 
 a3  f6  g6  g5  i4  i3  h4  h5  i5  h6 
 a3  g5  e6  e7  f6  f7  g6  g7  c8  c9 
 a3  h4  f5  f6  g6  g5  d7 b10  d9 e10 
 a8  c9  e8  e7  d8  e9  d9  d7  c8  c7 
 a8  e7  c8  c9  d8  d9  e8  e9  f8  f9 
 a8  e7  c8  c9  d8  d9  e8  e9 a10  g5 
 a8  e7  g6  g5  f6  f5  e6  e5  d5  d6 
 a8  f6  e6  e7  c8  c9  d8  d7  e9  c5 
 a8  f6  e6  e7  c9  c8  d7  d8  b9  b8 
 a8  f6  e6  e7  c9  c8  g6  g5  b9  b8 
 a8  f6  g6  g5  i4  h5  i5  h6  i6  h8 
 a8  f6  g6  g5  i4  i3  h4  h5  i5  h6 
 a8  g5  f5  e7  c9  c8  d7  d5  c5  c6 
 a8  g5  f5  e7  c9  d6  c6  c7  b9  b7 
 a8  g5  f5  f6  d7  e6  d6  e4  d4  d5 
 a8  g5  h5  h4  j3  j2  i3  i4  j4  i5 
 a8  i3  c9  e6  d6  e4  h3  f5  d4  d3 
 a9 b10  c9 c10  d9 d10  f9  f6  g6  g5 
 a9 b10  c9 c10  d9 d10  f9  f6  g6  g5 
 a9 b10  c9 c10  d9 d10  f9  f7  g7 e11 
 a9 b10  c9 c10  e9  e8  d9  d7  c7  c8 
 a9 b10  c9 c10  e9  f7  e7  e8  d9  d8 
 a9 b10  c9 c10  e9  f7  e7  f5  e5  e6 
 a9 b10  d6  e7  g6  g5  f6  f5  e4  g7 
 a9 b10  d9  d8  c9  c8  b7  b9  f7  f6 
 a9 b10  f6  f7  d8  e7  g6  g7  h7  h6 
 a9 b10  f7  f6  h5  h4  g5  g4  f5  f4 
 a9 b10  g6  g5  e6  e5  f5  f7  g7  f8 
 a9 b10  g6  g5  e6  f7  g7  f6  d8  d9 
 a9 b10  g6  g5  e6  f7  g7  f6  d8  d9 
 a9 b10  g6  g5  e6  f7  g7  f6  d8  d9 
 a9 b10  g6  g5  e6  f7  g7  f6  h5  h4 
 a9 b10  g6  g5  e6  f7  g7  f8  e8  e7 
 a9 b10  g6  g5  i4  h5  e6  e8  f7  f9 
 a9 b10  g6  g5  i4  h5  f5  f6  d7  e6 
 a9 b10  g6  g5  i4  h5  i5  h6  e6  i6 
 a9 b10  g6  g5  i4  h5  i5  h6  i6  i3 
 a9 b10  g6  g5  i4  h5  i5  h6  i6  i3 
 a9 b10  g6  g5  i4  i3  h4  h3  g4  g3 
 a9 b10  g6  g7  h7  g5  e6  h8  d9  e5 
 a9 b10  g6  g7  i6  d9  i9  i3  f5  f4 
 a9 b10  g6  g7  i6  i3  h4  h3  f4  g4 
 a9 b10  h5  h4  i4  i3  k2  j3  k3  j4 
 b9 b10  c9 c10  d9 d10  e9 e10  g9  f9 
 b9 b10  c9 c10  d9 d10  e9 e10  g9  f9 
 b9 b10  c9 c10  d9 d10  e9 e10  g9  f9 
 b9 b10  c9 c10  e9  d9  e8  e7  d8  d6 
 b9 b10  c9 c10  e9  e7  d9  d6  c6 d11 
 b9 b10  c9 c10  e9  e7  f7  g5  h5  h4 
 b9 b10  c9 c10  e9  e8  d9  d7  c7  d5 
 b9 b10  c9 c10  e9  e8  d9  d7  e7  d8 
 b9 b10  c9 c10  e9  f7  e7  f5  e5  e6 
 b9 b10  c9 c10  e9  f7  e7  f5  e5  e6 
 b9 b10  c9 c10  e9  f7  e7  f5  g5  f6 
 b9 b10  c9 c10  e9  g5  d9 d11 f10  e6 
 c2  d8  e8  e7  f7  f6  h5  h7  g6  h4 
 c2  d8  e8  e7  g6  g8  f7  g5  f5  g4 
 c2  d8  f7  f6  e6  e7  g6  e9  c8  c9 
 c2  d8  f7  f6  e6  e7  g6  g5  h5  h4 
 c2  e2  d8  d9  c9 b11 c10 c11 d10  f9 
 c2  e2  e6  e7  g6  g5  f6  f4  d5  e3 
 c2  e7  f7  f6  g6  i3  h4  h3  g4  g3 
 c2  e7  g6  g5  f6  f5  e6  e5  c6  d6 
 c2  f6  e6  e7  c8  c9  d8  d7  c7  d5 
 c2  f6  e6  e7  c8  d7  c7  d5  d6  f4 
 c2  f6  e6  e7  c8  d7  c7  d5  g6  h4 
 c2  g5  h5  h4  j3  e7  f7  e9  g8 f10 
 c2  g5  h5  h4  j3  g7  e8  d6  c6  c7 
 c2  g5  h5  h4  j3  i4  j4  i5  j5  i7 
 c9  d2  b3  b4  e6  d8  f7  e9  g8  g7 
 c9  e7  d7  e5  g5  g4  i3  h4  i4  h6 
 c9  f5  g5  f7  e6  d8  c8  d7  c7  d5 
 c9  f5  g5  f7  e6  e5  f6  d8  e8  e7 
 c9  f5  g5  f7  g7  g6  i5  h5  i4  i3 
 c9  g8  e6  d8  c8  d7  c7  d6  f8  f7 
 c9 b11  f5  f4  d5  h3  i3  h4  i4  h6 
 c9 b11  f5  f6  d7 d10 a11 b10 a10  b9 
 c9 b11 d10  d9  b9  d7  c7  d6  c6  d5 
 c9 b11 d10  d9  f6  f7  d7  c8  d8 c10 
 c9 b11 d10  e9  g8  g7  f7  d7  g5  g4 
 c9 b11 d10  f5  g5  f7  e6  e5  d6  d5 
 d2  d3  b4  g5  c6  b5  h5  h4  i4  i3 
 d2  d3  e7  g5  h5  h4  i4  i3  k2  j3 
 d2  e3  f6  g4  e5  f7  e7  d9  c9  d8 
 d2  e3  f6  g4  e5  f7  e7  d9  c9  d8 
 d2  e7  f7  g5  h5  h7  j6  i8  c8  c9 
 d2  f5  g5  f7  e7  d9  c9  d8  c8  d7 
 d2  f5  g5  f7  g7  g6  i5  h6  i6  h7 
 d2  f6  e6  c9  d8  d9  e8  e9  g8  f8 
 d2  f6  e6  e7  g6  g5  h5  h4  i4  i3 
 d2  f6  g6  g5  h5  h4  i4  i3  k2  j3 
 d2  f6  g6  g5  h5  h4  j3  i4  j4  i5 
 d2  g5  h5  g7  h7  h6  j5  j4  e6  e7 
 d2  g5  i4  h6  j5  i7  h7  i6  e6  e7 
 d2  j2  f6  f5  h4  h3  i2  i3  g4  g5 
 d9  d8  b9  c7  b6 b10  c9  b7  h5  h4 
 d9  d8  b9  c7  d7  c8  h7  f7  e7  e8 
 d9  d8  b9 b10  c9  c7  b6  b7  d7  c8 
 d9  d8  b9 b10  c9  c7  d7  c8  e7  e8 
 d9  d8  b9 b10  c9  c7  d7  c8  f7  f6 
 d9  d8  b9 b10  j2  i4  h5  h4  g5  g4 
 d9  d8  c8  c9 a10  g5  f7  e6  d6  b9 
 d9  d8  f7  f6  h5  h4  e6  e5  f5  g3 
 d9  e7  d7  d8  b9  c8  b8  c7  b7 b10 
 d9  e7  d7  d8  b9 b10  c9  c8  b8  c7 
 d9  e7  g6  g5  f5  f8  d7  d6  c7  e6 
 d9  e7  g6  g5  f6  f8  d5  e6  b8  c8 
 e2  e3  c4  g5  h5  h4  i4  i3  k2  j3 
 e2  f3  d4  d3  e3  g5  f6  d5  b6  c7 
 e2  f3  d4  d5  b6  c5  b5  c4  b4  d3 
 e2  f3  d4  d5  b6  c5  b5  c4  b4  d3 
 e2  f3  d4  d5  b6  g5  e7  c9  d9  e6 
 e2  f3  d4  g5  e6  d5  b6  e7  f7  f6 
 e2  f3  d4  g5  h5  h4  j3  j2  i3  i4 
 e2  f3  e6  e7  c8  d4  c4  h4  i4  h6 
 e2  f3  e7  d9  f8 e10  g9  g8  f9  f7 
